"stop_name";"stop_lat";"stop_lon";"stop_id"
"Myjava";"48,763641";"17,570897";"U29602Z1"
"Nedakonice";"49,032515";"17,374985";"U30319Z10"
"Nedvědice, železniční stanice";"49,454167";"16,338333";"U13520Z2"
"Nemotice, železniční stanice";"49,133056";"17,115";"U16503Z11"
"Nesovice, železniční stanice";"49,149167";"17,081111";"U16509Z11"
"Nevojice";"49,136847";"17,04775";"U26501Z2"
"Nezamyslice";"49,336";"17,1625";"U27503Z2"
"Novosedly, železniční stanice";"48,825719";"16,49405";"U15563Z10"
"Náměšť nad Oslavou, autobusové nádraží";"49,207254";"16,147697";"U14507Z10"
"Níhov, železniční stanice";"49,335275";"16,269007";"U13454Z11"
"Olbramkostel, železniční stanice";"48,903229";"15,949177";"U18158Z11"
"Ostopovice";"49,164803";"16,544451";"U24103Z2"
"Ostrožská Nová Ves";"49,009975";"17,436797";"U30314Z2"
"Ostrožská Nová Ves lázně";"49,018181";"17,446255";"U31103Z2"
"Petrov";"48,878911";"17,273703";"U29201Z10"
"Podivín, železniční stanice";"48,837775";"16,853671";"U15619Z11"
"Ponětovice, železniční stanice";"49,154709";"16,748578";"U16121Z10"
"Popice";"48,924332";"16,668084";"U25402Z11"
"Popovice, u tratě";"49,103463";"16,605647";"U15135Z11"
"Pouzdřany";"48,942025";"16,630527";"U25401Z11"
"Pravice";"48,848689";"16,370211";"U25603Z10"
"Prudká zastávka";"49,419195";"16,367361";"U13464Z2"
"Radostice";"49,133611";"16,461945";"U24202Z1"
"Rajhrad, železniční stanice";"49,084966";"16,60532";"U15181Z11"
"Rakvice";"48,866893";"16,821444";"U25501Z11"
"Rapotice, železniční stanice";"49,184028";"16,256111";"U14435Z10"
"Retz";"48,753724";"15,957444";"U31034Z11"
"Rohatec";"48,892515";"17,197852";"U29103Z10"
"Rohatec kolonie";"48,892642";"17,212111";"U29104Z10"
"Rohatec zastávka";"48,88309";"17,178111";"U29102Z10"
"Rousínov, žel. st.";"49,196667";"16,867139";"U17342Z10"
"Rovné-Divišov";"49,547632";"16,172826";"U23801Z2"
"Rozhraní, železniční zastávka";"49,601763";"16,532438";"U12819Z11"
"Rozsochy, železniční stanice";"49,537385";"16,195122";"U13801Z12"
"Rožná, železniční stanice";"49,472143";"16,245416";"U13605Z12"
"Rájec-Jestřebí, železniční stanice";"49,408206";"16,627711";"U12439Z50"
"Sedlec u Mikulova";"48,774564";"16,699006";"U25701Z10"
"Silůvky";"49,108611";"16,462778";"U24203Z1"
"Skalice nad Svitavou, žel.st.";"49,480123";"16,609726";"U12676Z50"
"Slatina, nádraží";"49,169478";"16,682148";"U1573Z10"
"Slavkov u Brna, žel. st.";"49,14495";"16,873475";"U16333Z11"
"Sokolnice, železniční stanice";"49,108029";"16,733459";"U16149Z11"
"Staré Město u Uherského Hradiště";"49,076022";"17,42271";"U31028Z2"
"Strážnice, aut. st.";"48,897385";"17,317688";"U19205Z10"
"Střelice";"49,153889";"16,483056";"U24101Z1"
"Střelice, dolní železniční stanice";"49,156945";"16,508889";"U14119Z10"
"Sudoměřice nad Moravou";"48,871653";"17,243039";"U29202Z10"
"Svitávka";"49,499434";"16,599208";"U22602Z1"
